2009;08;11 ; TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
2009;08;12 ; 13:10;0;746.67;0;439.22;59.98;3;260.18;237.7;12.83;8.5;7;3206.23;129;2000673163;63.2;249.94;393.34
2009;08;12 ; 13:15;0;747.13;0;439.49;59.97;3;260.26;237.78;12.94;8.56;7;3230.83;129;2000673163;63.59;249.68;393.27
2009;08;12 ; 13:20;0;747.59;0;439.76;59.97;3;260.35;237.87;13.03;8.62;7;3251.19;129;2000673163;63.87;249.52;393.29
2009;08;12 ; 13:25;0;748.06;0;440.03;59.98;3;260.43;237.95;13.06;8.69;7;3265.29;129;2000673163;63.9;250.11;391.67
2009;08;12 ; 13:30;0;748.52;0;440.31;59.99;3;260.51;238.03;13.15;8.75;7;3292.62;129;2000673163;63.96;250.42;392.45
2009;08;12 ; 13:35;0;748.99;0;440.58;59.99;3;260.6;238.12;13.21;8.81;7;3307.96;129;2000673163;64.28;250.42;391.36
2009;08;12 ; 13:40;0;749.46;0;440.86;59.98;3;260.68;238.2;13.24;8.85;7;3310.59;129;2000673163;64.37;250.14;389.86
2009;08;12 ; 13:45;0;749.93;0;441.14;59.98;3;260.76;238.28;13.34;8.92;7;3334.49;129;2000673163;64.48;250.01;389.83
2009;08;12 ; 13:50;0;750.41;0;441.42;59.99;3;260.85;238.37;13.43;8.95;7;3361.73;129;2000673163;64.72;250.42;391.81
2009;08;12 ; 13:55;0;750.89;0;441.7;59.99;3;260.93;238.45;13.47;8.98;7;3374.79;129;2000673163;64.78;250.56;391.96
2009;08;12 ; 14:00;0;751.36;0;441.98;60;3;261.01;238.53;13.53;9.01;7;3390.29;129;2000673163;64.93;250.61;392.29
2009;08;12 ; 14:05;0;751.85;0;442.27;60;3;261.1;238.62;13.63;9.02;7;3408.77;129;2000673163;65.08;250.15;394.17
2009;08;12 ; 14:10;0;752.33;0;442.55;59.99;3;261.18;238.7;13.68;9.06;7;3415.83;129;2000673163;65.12;249.64;393.43
2009;08;12 ; 14:15;0;752.82;0;442.83;59.99;3;261.26;238.78;13.6;9.04;7;3402.79;129;2000673163;65.1;250.25;392.49
2009;08;12 ; 14:20;0;753.3;0;443.12;59.98;3;261.35;238.87;13.56;9.02;7;3405.27;129;2000673163;65.08;251.2;393.68
2009;08;12 ; 14:25;0;753.78;0;443.4;60;3;261.43;238.95;13.51;8.97;7;3391.15;129;2000673163;64.85;251.08;394.06
2009;08;12 ; 14:30;0;754.25;0;443.68;59.99;3;261.51;239.03;13.43;9.04;7;3367.08;129;2000673163;64.48;250.75;388.17
2009;08;12 ; 14:35;0;754.74;0;443.96;59.98;3;261.6;239.12;13.37;9.03;7;3359.99;129;2000673163;64.42;251.24;387.73
2009;08;12 ; 14:40;0;755.21;0;444.24;59.98;3;261.68;239.2;13.32;8.98;7;3351.17;129;2000673163;64.41;251.6;389
2009;08;12 ; 14:45;0;755.69;0;444.52;59.99;3;261.76;239.28;13.37;9.01;7;3364.9;129;2000673163;64.4;251.61;389.12
2009;08;12 ; 14:50;0;756.15;0;444.8;60;3;261.85;239.37;13.3;8.93;7;3339.06;129;2000673163;64.34;251.08;389.64
2009;08;12 ; 14:55;0;756.63;0;445.08;60;3;261.93;239.45;13.24;8.89;7;3327.47;129;2000673163;64.22;251.32;390.12
2009;08;12 ; 15:00;0;757.1;0;445.35;60;3;262.01;239.53;13.12;8.84;7;3305.78;129;2000673163;63.97;251.94;389.51
2009;08;12 ; 15:05;0;757.56;0;445.63;60;3;262.1;239.62;13.03;8.81;7;3284.35;129;2000673163;63.85;252.07;388.42
2009;08;12 ; 15:10;0;758.03;0;445.9;60;3;262.18;239.7;12.99;8.89;7;3278.26;129;2000673163;63.48;252.32;383.95
2009;08;12 ; 15:15;0;758.49;0;446.17;59.99;3;262.26;239.78;12.9;8.91;7;3257.44;129;2000673163;63.15;252.58;380.49
2009;08;12 ; 15:20;0;758.94;0;446.44;59.99;3;262.35;239.87;12.78;8.81;7;3212.74;129;2000673163;62.67;251.49;379.52
2009;08;12 ; 15:25;0;759.4;0;446.71;59.99;3;262.43;239.95;12.83;8.78;7;3213.62;129;2000673163;62.72;250.5;381.41
2009;08;12 ; 15:30;0;759.85;0;446.97;59.99;3;262.51;240.03;12.72;8.77;7;3196.09;129;2000673163;62.61;251.37;379.58
2009;08;12 ; 15:35;0;760.3;0;447.24;59.99;3;262.6;240.12;12.62;8.69;7;3173.54;129;2000673163;62.38;251.49;380.33
2009;08;12 ; 15:40;0;760.75;0;447.5;59.99;3;262.68;240.2;12.62;8.68;7;3181.74;129;2000673163;62.25;252.16;381.76
2009;08;12 ; 15:45;0;761.2;0;447.77;59.99;3;262.76;240.28;12.55;8.61;7;3162.05;129;2000673163;62.17;251.89;382.43
2009;08;12 ; 15:50;0;761.64;0;448.03;59.99;3;262.85;240.37;12.39;8.53;7;3115.1;129;2000673163;61.87;251.45;380.24
2009;08;12 ; 15:55;0;762.08;0;448.28;59.99;3;262.93;240.45;12.24;8.4;7;3082.19;129;2000673163;61.53;251.78;382.08
2009;08;12 ; 16:00;0;762.51;0;448.54;59.99;3;263.01;240.53;12.14;8.31;7;3055.47;129;2000673163;61.28;251.79;382.56
2009;08;12 ; 16:05;0;762.94;0;448.79;60;3;263.1;240.62;12.08;8.26;7;3044.48;129;2000673163;61.14;252.05;383.79
2009;08;12 ; 16:10;0;763.37;0;449.04;60;3;263.18;240.7;11.95;8.17;7;3013.19;129;2000673163;60.87;252.14;383.99
2009;08;12 ; 16:15;0;763.79;0;449.29;59.99;3;263.26;240.78;11.88;8.13;7;2997.01;129;2000673163;60.71;252.35;383.79
2009;08;12 ; 16:20;0;764.21;0;449.54;60;3;263.35;240.87;11.72;7.99;7;2954.53;129;2000673163;60.61;252.23;384.81
2009;08;12 ; 16:25;0;764.63;0;449.78;60;3;263.43;240.95;11.59;7.88;7;2922.22;129;2000673163;60.34;252.13;385.96
2009;08;12 ; 16:30;0;765.04;0;450.02;60;3;263.51;241.03;11.45;7.75;7;2879.13;129;2000673163;60.09;251.44;386.58
2009;08;12 ; 16:35;0;765.44;0;450.26;60;3;263.6;241.12;11.34;7.66;7;2850.9;129;2000673163;59.71;251.4;387.09
2009;08;12 ; 16:40;0;765.84;0;450.49;60;3;263.68;241.2;11.15;7.54;7;2808.62;129;2000673163;59.21;251.97;387.45
2009;08;12 ; 16:45;0;766.23;0;450.72;60;3;263.76;241.28;10.99;7.43;7;2765.65;129;2000673163;58.78;251.68;387.16
